date,total_value,cash,positions
2023-01-01,1000000.0,1000000.0,0
2023-01-31,1000000.0,1000000.0,0
2023-02-28,1000000.0,1000000.0,0
2023-03-31,1000000.0,0.0,1
2023-04-30,941838.51,0.0,1
2023-05-31,1046904.55,0.0,1
2023-06-30,1085735.87,0.0,1
2023-07-31,1065001.07,0.0,1
2023-08-31,1034841.98,0.0,1
2023-09-30,991330.01,0.0,1
2023-10-31,1002702.97,0.0,1
2023-11-30,1093685.53,0.0,1
2023-12-31,1129887.76,0.0,1
2024-01-31,1196575.66,0.0,1
2024-02-29,1314709.05,0.0,1
2024-03-31,1485475.51,0.0,1
2024-04-30,1512275.21,0.0,1
2024-05-31,1571617.64,0.0,1
2024-06-30,1856334.33,0.0,1
2024-07-31,1794841.25,0.0,1
2024-08-31,1814057.65,0.0,1
2024-09-30,1847240.36,0.0,1
2024-10-31,1988147.95,0.0,1
2024-11-30,1922519.84,0.0,1
2024-12-31,2082981.53,0.0,1
2025-01-31,2199240.67,0.0,1
2025-02-28,2015163.11,0.0,1
2025-03-31,1771486.18,0.0,1
2025-04-30,1767592.84,0.0,1
2025-05-31,1882447.48,0.0,1
2025-06-30,2072245.34,0.0,1
2025-07-31,2267740.17,0.0,1
2025-08-31,2267740.17,0.0,1
2025-09-30,2561412.62,0.0,1
2025-10-31,2944152.52,0.0,1
2025-11-30,2826386.58,0.0,1
2025-12-31,3052432.01,0.0,1
